date_key,full_date
1,2021-01-01
2,2021-01-02
3,2021-01-03
4,2021-01-04
5,2021-01-05
6,2021-01-06
7,2021-01-07
8,2021-01-08
9,2021-01-09
10,2021-01-10
11,2021-01-11
12,2021-01-12
13,2021-01-13
14,2021-01-14
15,2021-01-15
16,2021-01-16
17,2021-01-17
18,2021-01-18
19,2021-01-19
20,2021-01-20
21,2021-01-21
22,2021-01-22
23,2021-01-23
24,2021-01-24
25,2021-01-25
26,2021-01-26
27,2021-01-27
28,2021-01-28
29,2021-01-29
30,2021-01-30
31,2021-01-31
32,2021-02-01
33,2021-02-02
34,2021-02-03
35,2021-02-04
36,2021-02-05
37,2021-02-06
38,2021-02-07
39,2021-02-08
40,2021-02-09
41,2021-02-10
42,2021-02-11
43,2021-02-12
44,2021-02-13
45,2021-02-14
46,2021-02-15
47,2021-02-16
48,2021-02-17
49,2021-02-18
50,2021-02-19
51,2021-02-20
52,2021-02-21
53,2021-02-22
54,2021-02-23
55,2021-02-24
56,2021-02-25
57,2021-02-26
58,2021-02-27
59,2021-02-28
60,2021-03-01
61,2021-03-02
62,2021-03-03
63,2021-03-04
64,2021-03-05
65,2021-03-06
66,2021-03-07
67,2021-03-08
68,2021-03-09
69,2021-03-10
70,2021-03-11
71,2021-03-12
72,2021-03-13
73,2021-03-14
74,2021-03-15
75,2021-03-16
76,2021-03-17
77,2021-03-18
78,2021-03-19
79,2021-03-20
80,2021-03-21
81,2021-03-22
82,2021-03-23
83,2021-03-24
84,2021-03-25
85,2021-03-26
86,2021-03-27
87,2021-03-28
88,2021-03-29
89,2021-03-30
90,2021-03-31
91,2021-04-01
92,2021-04-02
93,2021-04-03
94,2021-04-04
95,2021-04-05
96,2021-04-06
97,2021-04-07
98,2021-04-08
99,2021-04-09
100,2021-04-10
101,2021-04-11
102,2021-04-12
103,2021-04-13
104,2021-04-14
105,2021-04-15
106,2021-04-16
107,2021-04-17
108,2021-04-18
109,2021-04-19
110,2021-04-20
111,2021-04-21
112,2021-04-22
113,2021-04-23
114,2021-04-24
115,2021-04-25
116,2021-04-26
117,2021-04-27
118,2021-04-28
119,2021-04-29
120,2021-04-30
121,2021-05-01
122,2021-05-02
123,2021-05-03
124,2021-05-04
125,2021-05-05
126,2021-05-06
127,2021-05-07
128,2021-05-08
129,2021-05-09
130,2021-05-10
131,2021-05-11
132,2021-05-12
133,2021-05-13
134,2021-05-14
135,2021-05-15
136,2021-05-16
137,2021-05-17
138,2021-05-18
139,2021-05-19
140,2021-05-20
141,2021-05-21
142,2021-05-22
143,2021-05-23
144,2021-05-24
145,2021-05-25
146,2021-05-26
147,2021-05-27
148,2021-05-28
149,2021-05-29
150,2021-05-30
151,2021-05-31
152,2021-06-01
153,2021-06-02
154,2021-06-03
155,2021-06-04
156,2021-06-05
157,2021-06-06
158,2021-06-07
159,2021-06-08
160,2021-06-09
161,2021-06-10
162,2021-06-11
163,2021-06-12
164,2021-06-13
165,2021-06-14
166,2021-06-15
167,2021-06-16
168,2021-06-17
